organization_name,page_name,url,parser_name,parser_metadata,user_agent,timeout_seconds,scrape_interval_minutes,is_enabled
Ministry of Earth Sciences,Recruitment,https://www.moes.gov.in/notices/recruitments/recruitments-archive,generic_html,,ClimateJobsBot/1.0,30,1440,1
India Meteorological Department,Recruitment,https://internal.imd.gov.in/pages/recruits_mausam.php,generic_html,,ClimateJobsBot/1.0,30,1440,1
Indian Institute of Tropical Meteorology,Announcements / Careers (homepage — no dedicated page confirmed),https://www.tropmet.res.in,generic_html,,ClimateJobsBot/1.0,30,1440,1
National Centre for Medium Range Weather Forecasting,Announcements / Careers (homepage — no dedicated page confirmed),https://www.ncmrwf.gov.in,generic_html,,ClimateJobsBot/1.0,30,1440,1
Indian National Centre for Ocean Information Services,Recruitment,https://incois.gov.in/,generic_html,,ClimateJobsBot/1.0,30,1440,1
National Institute of Ocean Technology,Announcements / Careers (homepage — no dedicated page confirmed),https://www.niot.res.in,generic_html,,ClimateJobsBot/1.0,30,1440,1
National Centre for Coastal Research,Announcements / Careers (homepage — no dedicated page confirmed),https://www.nccr.gov.in,generic_html,,ClimateJobsBot/1.0,30,1440,1
National Centre for Earth Science Studies,Announcements / Careers (homepage — no dedicated page confirmed),https://www.ncess.gov.in,generic_html,,ClimateJobsBot/1.0,30,1440,1
National Centre for Polar and Ocean Research,Recruitment,https://ncpor.res.in/recruitment,generic_html,,ClimateJobsBot/1.0,30,1440,1
Centre for Marine Living Resources and Ecology,Announcements / Careers (homepage — no dedicated page confirmed),https://cmlre.gov.in,generic_html,,ClimateJobsBot/1.0,30,1440,1
National Centre for Seismology,Announcements / Careers (homepage — no dedicated page confirmed),https://seismo.gov.in,generic_html,,ClimateJobsBot/1.0,30,1440,1
CSIR - National Institute of Oceanography,Announcements / Careers (homepage — no dedicated page confirmed),https://www.nio.res.in,generic_html,,ClimateJobsBot/1.0,30,1440,1
CSIR - National Environmental Engineering Research Institute,Recruitment,https://career.neeri.res.in/,generic_html,,ClimateJobsBot/1.0,30,1440,1
CSIR - National Geophysical Research Institute,Recruitment,https://rectt.ngri.res.in,generic_html,,ClimateJobsBot/1.0,30,1440,1
CSIR - Central Salt and Marine Chemicals Research Institute,Announcements / Careers (homepage — no dedicated page confirmed),https://www.csmcri.res.in,generic_html,,ClimateJobsBot/1.0,30,1440,1
CSIR - Fourth Paradigm Institute,Announcements / Careers (homepage — no dedicated page confirmed),https://www.csir4pi.res.in,generic_html,,ClimateJobsBot/1.0,30,1440,1
CSIR - National Aerospace Laboratories,Announcements / Careers (homepage — no dedicated page confirmed),https://www.nal.res.in,generic_html,,ClimateJobsBot/1.0,30,1440,1
CSIR - Institute of Himalayan Bioresource Technology,Announcements / Careers (homepage — no dedicated page confirmed),https://www.ihbt.res.in,generic_html,,ClimateJobsBot/1.0,30,1440,1
CSIR - Central Building Research Institute,Announcements / Careers (homepage — no dedicated page confirmed),https://www.cbri.res.in,generic_html,,ClimateJobsBot/1.0,30,1440,1
CSIR - Central Road Research Institute,Announcements / Careers (homepage — no dedicated page confirmed),https://www.crridom.gov.in,generic_html,,ClimateJobsBot/1.0,30,1440,1
CSIR - National Institute of Science Communication and Policy Research,Announcements / Careers (homepage — no dedicated page confirmed),https://www.niscpr.res.in,generic_html,,ClimateJobsBot/1.0,30,1440,1
Indian Space Research Organisation,Announcements / Careers (homepage — no dedicated page confirmed),https://www.isro.gov.in,generic_html,,ClimateJobsBot/1.0,30,1440,1
National Remote Sensing Centre,Announcements / Careers (homepage — no dedicated page confirmed),https://www.nrsc.gov.in,generic_html,,ClimateJobsBot/1.0,30,1440,1
Space Applications Centre,Announcements / Careers (homepage — no dedicated page confirmed),https://www.sac.gov.in,generic_html,,ClimateJobsBot/1.0,30,1440,1
Indian Institute of Remote Sensing,Announcements / Careers (homepage — no dedicated page confirmed),https://www.iirs.gov.in,generic_html,,ClimateJobsBot/1.0,30,1440,1
Physical Research Laboratory,Announcements / Careers (homepage — no dedicated page confirmed),https://www.prl.res.in,generic_html,,ClimateJobsBot/1.0,30,1440,1
National Atmospheric Research Laboratory,Announcements / Careers (homepage — no dedicated page confirmed),https://www.narl.gov.in,generic_html,,ClimateJobsBot/1.0,30,1440,1
